City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
565,Ascension,US,78.8,broken clouds,30.22,-90.9,Highland Inn
566,Moerai,PF,76.1,light rain,-22.43,-151.33,Le Manotel
569,Saint-Paul,RE,75.2,scattered clouds,-21.01,55.27,Boucan Canot
572,Juarez,MX,73.99,clear sky,31.73,-106.48,Holiday Inn Express El Paso-Central
573,Yalova,TR,66.2,few clouds,40.66,29.28,Şeref Hotel
575,Angoram,PG,74.41,moderate rain,-4.06,144.07,
577,Rawson,AR,65.46,overcast clouds,-43.3,-65.1,Hotel Punta León
578,Pachmarhi,IN,65.17,scattered clouds,22.47,78.43,TBT Budget Stays
581,Chaohu,CN,60.8,light rain,31.6,117.87,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
582,Pakozd,HU,61.0,broken clouds,47.21,18.53,Mohosz Agárdi Horgászüdülő
583,Marzuq,YE,78.33,scattered clouds,14.4,46.47,
589,Yidu,CN,63.46,broken clouds,24.16,115.13,
595,Pappadatai,GR,72.0,few clouds,39.31,20.79,
600,Bourail,NC,70.5,clear sky,-21.57,165.48,Nekweta
603,Luwuk,ID,76.42,scattered clouds,-0.95,122.79,Hotel Santika Luwuk
604,Eloy,US,69.8,clear sky,32.76,-111.55,Eloy RV & Mobile Home Park
606,Quatre Cocos,MU,75.99,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
614,Fare,PF,78.87,scattered clouds,-16.7,-151.02,Maitai Lapita Village Huahine
615,Pasighat,IN,72.73,clear sky,28.07,95.33,Siang Guest House
618,Ta Khmau,KH,76.51,overcast clouds,11.48,104.95,Tra Ny Ka Hotel & Restaurant
624,Lashio,MM,65.07,broken clouds,22.93,97.75,Hotel CF Lashio - Burmese Only
629,Arona,ES,77.0,broken clouds,28.1,-16.68,Paradise Court
630,Bulawayo,ZW,73.56,clear sky,-20.15,28.58,4 On Housman Backpackers
633,Palmer,US,68.0,broken clouds,42.16,-72.33,Wedgewood Motel
637,Tabuk,PH,74.44,overcast clouds,17.42,121.44,Grand Zion Garden Resort Hotel
644,Abbeville,FR,64.99,overcast clouds,50.1,1.83,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
645,Kefamenanu,ID,72.03,few clouds,-9.45,124.48,PAULUS TAITOH
649,Ponnani,IN,78.8,scattered clouds,10.77,75.93,Rouba Residency
651,Manokwari,ID,79.57,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
654,Rabo De Peixe,PT,62.6,shower rain,37.8,-25.58,Quinta das Giestas
659,Thohoyandou,ZA,74.28,clear sky,-22.95,30.48,Masili Guesthouse & Conference
660,Gidole,ET,61.41,light rain,5.65,37.37,Shallom mekaneyesus church
661,Yushan,CN,63.0,mist,31.38,120.95,裕元花园酒店
664,Makokou,GA,78.1,light rain,0.57,12.86,WAMY RESIDENCE HOTEL
665,Mogadishu,SO,79.97,clear sky,2.04,45.34,Hotel Juba
666,Mayumba,GA,78.75,light rain,-3.43,10.66,LIKWALE LODGE
667,Inhambane,MZ,74.35,scattered clouds,-23.86,35.38,Oceano
668,Barranco,PA,77.0,light intensity drizzle,9.52,-82.7,
673,Saint-Francois,FR,69.8,overcast clouds,46.42,3.91,Manoir Du Bonheur
675,Nyakabindi,TZ,74.57,light rain,-2.63,33.98,
676,Kalemie,CD,76.57,light rain,-5.95,29.19,Mahobilali
679,Itoman,JP,78.8,light intensity shower rain,26.12,127.67,Southern Beach Hotel & Resort Okinawa
