City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Chizhou,CN,30.66,117.48,55.67,77,84,0.78,broken clouds
84,Clifton Springs,AU,-38.15,144.57,48,100,75,2.64,broken clouds
85,Beringovskiy,RU,63.05,179.32,38.89,83,23,10.56,few clouds
86,Hualmay,PE,-11.1,-77.61,70.18,65,3,11.45,clear sky
87,Ahipara,NZ,-35.17,173.17,58.64,82,100,5.19,overcast clouds
88,Mayo,US,38.89,-76.51,66.99,100,90,4.7,mist
89,Bambous Virieux,MU,-20.34,57.76,75.99,73,40,11.41,scattered clouds
90,Teghra,IN,25.48,85.95,80.24,56,0,3.87,clear sky
91,Mahebourg,MU,-20.41,57.7,75.2,73,40,11.41,scattered clouds
92,Lebu,CL,-37.62,-73.65,53.71,65,0,16.58,clear sky
93,Clyde River,CA,70.47,-68.59,26.6,73,90,4.7,overcast clouds
94,Vaini,TO,-21.2,-175.2,71.6,83,75,5.82,broken clouds
95,Asau,RO,46.43,26.4,59,58,98,14.99,overcast clouds
96,Guerrero Negro,MX,27.98,-114.06,70.16,79,97,7.9,overcast clouds
97,Caravelas,BR,-17.71,-39.25,79.54,78,68,8.7,broken clouds
98,Albany,US,42.6,-73.97,66.99,85,70,10.92,broken clouds
99,Erzin,TR,36.96,36.2,81,56,4,6.15,clear sky
100,Mahanoro,MG,-19.9,48.8,72.28,70,0,3.49,clear sky
101,Samarai,PG,-10.62,150.67,79.11,85,79,8.95,light rain
102,Rome,US,34.26,-85.16,73,77,90,4.7,overcast clouds
103,Ostrovnoy,RU,68.05,39.51,34.9,88,99,7.14,overcast clouds
104,Hermanus,ZA,-34.42,19.23,66.99,66,0,4,clear sky
105,Bengkulu,ID,-3.8,102.27,77.27,87,100,4.63,moderate rain
106,Brainerd,US,46.36,-94.2,33.01,86,90,12.75,haze
107,Lulea,SE,65.58,22.15,30.2,100,90,9.17,light snow
108,Avera,US,33.19,-82.53,78.8,83,75,4.7,broken clouds
109,Provideniya,RU,64.38,-173.3,35.06,93,21,0.89,few clouds
110,San Juan,AR,-31.54,-68.54,76.5,34,0,5.55,clear sky
111,Ribeira Grande,PT,38.52,-28.7,64.4,59,40,8.05,scattered clouds
112,Hobart,AU,-42.88,147.33,51.8,93,90,2.28,overcast clouds
113,Camopi,GF,3.17,-52.32,93.33,43,89,4.34,overcast clouds
114,Kampong Chhnang,KH,12.17,104.55,75.97,92,100,6.62,overcast clouds
115,Cape Town,ZA,-33.93,18.42,66,59,0,11.41,clear sky
116,Piacabucu,BR,-10.41,-36.43,83.98,62,0,12.35,clear sky
117,San Patricio,US,28.02,-97.52,84,78,20,10.29,few clouds
118,Arraial Do Cabo,BR,-22.97,-42.03,80.6,69,20,16.11,few clouds
119,Puerto Ayora,EC,-0.74,-90.35,75.2,78,75,20.8,broken clouds
120,Dikson,RU,73.51,80.55,24.08,97,99,4.83,overcast clouds
121,Kisangani,CD,0.52,25.2,74.68,95,94,2.55,light rain
122,Mount Gambier,AU,-37.83,140.77,44.6,100,28,3.36,scattered clouds
123,Prado,BR,-17.34,-39.22,80.04,70,54,12.44,broken clouds
124,Saldanha,ZA,-33.01,17.94,61.23,65,0,19.48,clear sky
125,Venado Tuerto,AR,-33.75,-61.97,57.99,90,100,11.01,overcast clouds
126,Buala,SB,-8.14,159.59,80.83,76,86,5.84,overcast clouds
127,Thompson,CA,55.74,-97.86,23,85,90,3.42,overcast clouds
128,Abu Samrah,SY,35.3,37.18,73.49,36,0,11.7,clear sky
129,Altamont,US,42.21,-121.74,43,77,1,3.2,clear sky
130,Terrace Bay,CA,48.78,-87.1,33.8,93,90,8.05,overcast clouds
131,Igunga,TZ,-4.28,33.88,88.03,25,100,6.69,overcast clouds
132,Bichura,RU,50.59,107.6,29.57,82,81,4.23,broken clouds
133,Byron Bay,AU,-28.65,153.62,59,93,100,3.89,overcast clouds
134,Port Alfred,ZA,-33.59,26.89,67.39,75,0,18.07,clear sky
